Name,Score,Members,Popularity,Genres,Studios,Synopsis
Attack on Titan,9.10,3800000,1,"Action, Drama, Fantasy",Wit Studio,"Humanity fights giant Titans after the fall of the outer wall."
Fullmetal Alchemist: Brotherhood,9.12,3500000,2,"Action, Adventure, Fantasy",Bones,"Two brothers search for the Philosopher's Stone after a failed alchemy experiment."
Steins;Gate,9.08,2800000,3,"Sci-Fi, Thriller",White Fox,"A group of friends accidentally discover time travel through a microwave device."
Death Note,8.95,4200000,4,"Mystery, Psychological, Thriller",Madhouse,"A student gains a notebook that can kill anyone whose name is written in it."
One Piece,8.90,3200000,5,"Action, Adventure, Fantasy",Toei Animation,"Monkey D. Luffy sails the seas in search of the legendary treasure One Piece."
Naruto: Shippuden,8.75,3000000,6,"Action, Adventure",Pierrot,"Naruto returns to continue his journey toward becoming Hokage."
Demon Slayer,8.70,3100000,7,"Action, Supernatural",ufotable,"Tanjiro becomes a demon slayer to save his sister and avenge his family."
Jujutsu Kaisen,8.72,2950000,8,"Action, Supernatural",MAPPA,"A high school student enters the world of curses after swallowing a cursed object."
Hunter x Hunter,9.05,2600000,9,"Action, Adventure, Fantasy",Madhouse,"Gon becomes a Hunter to find his father and explore the world."
Code Geass,8.91,2400000,10,"Action, Mecha, Drama",Sunrise,"Lelouch gains the power of Geass and leads a rebellion against an empire."
Bleach,8.15,2700000,11,"Action, Supernatural",Pierrot,"Ichigo becomes a Soul Reaper and protects humans from evil spirits."
My Hero Academia,8.10,2500000,12,"Action, Superhero",Bones,"Izuku Midoriya trains to become a hero in a world of superpowers."
Black Clover,8.20,2100000,13,"Action, Fantasy",Pierrot,"Asta aims to become the Wizard King despite having no magic."
Chainsaw Man,8.65,2000000,14,"Action, Horror, Supernatural",MAPPA,"Denji merges with a devil and becomes Chainsaw Man."
Dr. Stone,8.30,1800000,15,"Adventure, Sci-Fi",TMS Entertainment,"A genius teenager rebuilds civilization through science after humanity is petrified."
Kaiju No. 8,8.45,1500000,16,"Action, Sci-Fi",Production I.G,"A man gains the power of a kaiju and joins a defense force."
Frieren: Beyond Journey's End,9.15,1400000,17,"Fantasy, Drama",Madhouse,"An elf mage reflects on life and friendship after the hero's journey ends."
Solo Leveling,8.80,2300000,18,"Action, Fantasy",A-1 Pictures,"The weakest hunter gains a mysterious system that allows him to grow stronger."
Vinland Saga,8.85,1700000,19,"Action, Historical, Drama",MAPPA,"A young Viking seeks revenge while learning the meaning of war and peace."
